,Unnamed: 0,id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,pointsDifference,closeGame
125,125,401121936,2019,2,regular,2019-09-07T22:00:00.000Z,False,True,False,False,17202,3608,Allen E. Paulson Stadium,290,Georgia Southern,fbs,Sun Belt,26,"[0, 10, 6, 10]",0.9906863687292652,,,311,Maine,fcs,CAA,18,"[3, 0, 0, 15]",0.0093136312707348,,,3.5602354622,https://www.youtube.com/watch?v=ECbPES8__LY,,8,True
131,131,401114248,2019,2,regular,2019-09-07T23:00:00.000Z,False,True,False,True,13311,218,FIU Stadium,2229,Florida International,fbs,Conference USA,14,"[7, 0, 7, 0]",0.1400025139263153,1395.0,1382.0,98,Western Kentucky,fbs,Conference USA,20,"[7, 7, 3, 3]",0.8599974860736846,1365.0,1378.0,6.1054934858,https://www.youtube.com/watch?v=TO4_tmYNLUw,,-6,True
133,133,401110783,2019,2,regular,2019-09-07T23:00:00.000Z,False,True,False,False,92475,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,26,"[7, 6, 0, 3, 7, 3]",0.4526975340717452,1372.0,1376.0,252,BYU,fbs,FBS Independents,29,"[3, 0, 7, 6, 7, 6]",0.5473024659282548,1520.0,1516.0,8.3028070919,https://www.youtube.com/watch?v=pYPZgcwmxkw,,-3,True
136,136,401121937,2019,2,regular,2019-09-07T23:00:00.000Z,False,True,False,False,20351,4246,Center Parc Stadium,2247,Georgia State,fbs,Sun Belt,48,"[3, 14, 21, 10]",0.8168834737963838,,,231,Furman,fcs,Southern,42,"[13, 7, 8, 14]",0.1831165262036161,,,5.22719968179999,,,6,True
137,137,401112097,2019,2,regular,2019-09-07T23:00:00.000Z,False,True,False,False,33493,3833,Memorial Stadium,2305,Kansas,fbs,Big 12,7,"[7, 0, 0, 0]",0.0797882221314161,1383.0,1365.0,324,Coastal Carolina,fbs,Sun Belt,12,"[0, 6, 6, 0]",0.920211777868584,1259.0,1277.0,5.3557876941,https://www.youtube.com/watch?v=9BU18Kwm2iM,,-5,True
142,142,401110778,2019,2,regular,2019-09-07T23:30:00.000Z,False,True,False,False,98763,3910,DKR-Texas Memorial Stadium,251,Texas,fbs,Big 12,38,"[0, 7, 14, 17]",0.0618747827669986,1734.0,1730.0,99,LSU,fbs,SEC,45,"[3, 17, 3, 22]",0.9381252172330014,1857.0,1861.0,5.09854529909999,https://www.youtube.com/watch?v=qGJwLdhYo3g,,-7,True
149,149,401112443,2019,2,regular,2019-09-08T00:00:00.000Z,False,True,False,True,50500,3787,Kenan Stadium,153,North Carolina,fbs,ACC,28,"[17, 0, 3, 8]",0.2726687650778749,1424.0,1427.0,2390,Miami,fbs,ACC,25,"[3, 10, 6, 6]",0.727331234922125,1606.0,1603.0,8.08945067269999,https://www.youtube.com/watch?v=2ZB89C2lK84,,3,True
154,154,401114175,2019,2,regular,2019-09-08T02:30:00.000Z,False,True,False,True,66327,3765,Husky Stadium,264,Washington,fbs,Pac-12,19,"[0, 10, 3, 6]",0.1156987482074946,1739.0,1727.0,25,California,fbs,Pac-12,20,"[0, 3, 14, 3]",0.8843012517925054,1521.0,1533.0,7.19849532879999,https://www.youtube.com/watch?v=jW3sy18zwwo,,-1,True
155,155,401112230,2019,2,regular,2019-09-08T02:30:00.000Z,False,True,False,False,34790,3660,Valley Children's Stadium,278,Fresno State,fbs,Mountain West,35,"[0, 10, 11, 7, 7, 0]",0.4012500104281351,1675.0,1666.0,135,Minnesota,fbs,Big Ten,38,"[7, 7, 0, 14, 7, 3]",0.5987499895718649,1595.0,1604.0,7.4791337247,https://www.youtube.com/watch?v=hH3Obk_2zOM,,-3,True
158,158,401114200,2019,2,regular,2019-09-08T03:59:00.000Z,False,True,False,False,26807,3610,Aloha Stadium,62,Hawai'i,fbs,Mountain West,31,"[7, 14, 7, 3]",0.6316984746813501,1302.0,1302.0,204,Oregon State,fbs,Pac-12,28,"[14, 14, 0, 0]",0.3683015253186499,1210.0,1210.0,8.8319508733,https://www.youtube.com/watch?v=qUHQ5U2ldnc,,3,True
159,159,401112448,2019,3,regular,2019-09-13T22:00:00.000Z,False,True,False,False,31345,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,24,"[7, 14, 0, 3]",0.9508919483961902,1593.0,1592.0,153,North Carolina,fbs,ACC,18,"[0, 0, 3, 15]",0.0491080516038098,1427.0,1428.0,4.08653063489999,https://www.youtube.com/watch?v=EGiq_EWnDpQ,,6,True
161,161,401114230,2019,3,regular,2019-09-14T01:15:00.000Z,False,True,True,False,40523,3891,NRG Stadium,248,Houston,fbs,American Athletic,24,"[0, 14, 0, 10]",0.0147153638134143,1455.0,1468.0,265,Washington State,fbs,Pac-12,31,"[0, 7, 14, 10]",0.9852846361865856,1772.0,1759.0,4.6954867241,https://www.youtube.com/watch?v=3YNUVb3tRhc,,-7,True
164,164,401112455,2019,3,regular,2019-09-14T16:00:00.000Z,False,True,False,False,52314,3799,Lane Stadium,259,Virginia Tech,fbs,ACC,24,"[3, 0, 14, 7]",0.9903717989497892,,,231,Furman,fcs,Southern,17,"[0, 14, 0, 3]",0.0096282010502106,,,4.8835810342,https://www.youtube.com/watch?v=a3pO_fIHhHc,,7,True
167,167,401112203,2019,3,regular,2019-09-14T16:00:00.000Z,False,True,False,False,30610,3806,Lincoln Financial Field,218,Temple,fbs,American Athletic,20,"[7, 0, 6, 7]",0.9509690929529904,1558.0,1560.0,120,Maryland,fbs,Big Ten,17,"[2, 0, 13, 2]",0.0490309070470097,1626.0,1624.0,10.0077735779,https://www.youtube.com/watch?v=Dv0KXHXxIjE,,3,True
168,168,401112147,2019,3,regular,2019-09-14T16:00:00.000Z,False,True,False,False,34759,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,31,"[17, 0, 0, 14]",0.9246310082337612,1367.0,1366.0,2199,Eastern Michigan,fbs,Mid-American,34,"[14, 9, 0, 11]",0.0753689917662387,1431.0,1432.0,8.536978625,https://www.youtube.com/watch?v=XTQHQci3qVI,,-3,True
169,169,401112259,2019,3,regular,2019-09-14T16:00:00.000Z,False,True,False,False,108661,3632,Beaver Stadium,213,Penn State,fbs,Big Ten,17,"[7, 3, 7, 0]",0.8792334427238858,1828.0,1823.0,221,Pittsburgh,fbs,ACC,10,"[0, 10, 0, 0]",0.1207665572761141,1561.0,1566.0,4.2012155878,https://www.youtube.com/watch?v=6PhzhKJHI-Y,,7,True
171,171,401110792,2019,3,regular,2019-09-14T16:00:00.000Z,False,True,False,False,54522,3693,Davis Wade Stadium,344,Mississippi State,fbs,SEC,24,"[0, 14, 7, 3]",0.5240458420042516,1798.0,1774.0,2306,Kansas State,fbs,Big 12,31,"[3, 14, 0, 14]",0.4759541579957483,1670.0,1694.0,7.9125235237,https://www.youtube.com/watch?v=_ZxzrzYMAGc,,-7,True
172,172,401112452,2019,3,regular,2019-09-14T16:30:00.000Z,False,True,False,False,42871,721,Bobby Dodd Stadium,59,Georgia Tech,fbs,ACC,24,"[0, 6, 8, 10, 0]",0.428163391295857,,,2643,The Citadel,fcs,Southern,27,"[7, 7, 7, 3, 3]",0.571836608704143,,,6.53780195879999,https://www.youtube.com/watch?v=U3IJV_h6EFU,,-3,True
173,173,401114185,2019,3,regular,2019-09-14T17:00:00.000Z,False,True,False,False,49282,3726,Folsom Field,38,Colorado,fbs,Pac-12,23,"[10, 0, 0, 13, 0]",0.0496423408185837,1493.0,1480.0,2005,Air Force,fbs,Mountain West,30,"[6, 14, 0, 3, 7]",0.9503576591814162,1499.0,1512.0,5.69067508069999,https://www.youtube.com/watch?v=5hkmh0tHNUI,,-7,True
