Id,Season,HomeTeam,HomePoints,AwayTeam,AwayPoints,PointDiff
401012785,2018,Washington State,19,California,13,6
401020776,2018,Miami (OH),30,Ohio,28,2
401013167,2018,NC State,23,Wake Forest,27,4
401022556,2018,Boise State,24,Fresno State,17,7
401013054,2018,Kansas State,21,Kansas,17,4
401012859,2018,Indiana,34,Maryland,32,2
401012335,2018,Missouri,33,Vanderbilt,28,5
401012333,2018,Florida,35,South Carolina,31,4
401013170,2018,Duke,42,North Carolina,35,7
401012786,2018,Arizona State,31,UCLA,28,3
401013070,2018,Oklahoma,48,Oklahoma State,47,1
401015042,2018,Old Dominion,34,North Texas,31,3
401012870,2018,Iowa,10,Northwestern,14,4
401019526,2018,Tulane,24,East Carolina,18,6
401012789,2018,Utah,32,Oregon,25,7
401013172,2018,Georgia Tech,27,Miami,21,6
401012332,2018,Arkansas,17,LSU,24,7
401013321,2018,Texas Tech,34,Texas,41,7
401015043,2018,UAB,26,Southern Miss,23,3
401012787,2018,USC,14,California,15,1
401022558,2018,San Diego State,24,UNLV,27,3
401020780,2018,Ball State,42,Western Michigan,41,1
401020782,2018,Northern Illinois,7,Miami (OH),13,6
401015045,2018,North Texas,41,Florida Atlantic,38,3
401012887,2018,Nebraska,9,Michigan State,6,3
401013036,2018,Baylor,9,TCU,16,7
401012878,2018,Maryland,51,Ohio State,52,1
401015044,2018,Charlotte,35,Florida International,42,7
401022561,2018,Colorado State,24,Utah State,29,5
401012791,2018,UCLA,34,USC,27,7
401013177,2018,Georgia Tech,30,Virginia,27,3
401013353,2018,Purdue,44,Wisconsin,47,3
401015046,2018,Southern Miss,21,Louisiana Tech,20,1
401019534,2018,Navy,37,Tulsa,29,8
401013175,2018,Florida State,22,Boston College,21,1
401021696,2018,Troy,12,Texas State,7,5
401013327,2018,Oklahoma State,45,West Virginia,41,4
401022559,2018,Wyoming,35,Air Force,27,8
401012348,2018,Vanderbilt,36,Ole Miss,29,7
401012793,2018,Oregon,31,Arizona State,29,2
401022564,2018,Hawai'i,35,UNLV,28,7
401020786,2018,Western Michigan,28,Northern Illinois,21,7
401022565,2018,Air Force,27,Colorado State,19,8
401012871,2018,Iowa,31,Nebraska,28,3
401020790,2018,Kent State,20,Eastern Michigan,28,8
401013056,2018,Kansas,17,Texas,24,7
401021699,2018,South Alabama,31,Coastal Carolina,28,3
401013183,2018,Virginia Tech,34,Virginia,31,3
401013071,2018,West Virginia,56,Oklahoma,59,3
401012861,2018,Indiana,21,Purdue,28,7
401015051,2018,Florida International,25,Marshall,28,3
401019539,2018,Tulane,29,Navy,28,1
401013187,2018,North Carolina,28,NC State,34,6
401013447,2018,Liberty,28,New Mexico State,21,7
401021701,2018,UL Monroe,28,Louisiana,31,3
401012801,2018,UCLA,42,Stanford,49,7
401012815,2018,Northwestern,24,Illinois,16,8
401019540,2018,Tulsa,27,SMU,24,3
401012799,2018,Arizona,40,Arizona State,41,1
401012850,2018,Michigan State,14,Rutgers,10,4
401015050,2018,Florida Atlantic,24,Charlotte,27,3
401013047,2018,Iowa State,42,Kansas State,38,4
401015054,2018,UTSA,21,North Texas,24,3
401012356,2018,Texas A&M,74,LSU,72,2
401012800,2018,USC,17,Notre Dame,24,7
401013078,2018,TCU,31,Oklahoma State,24,7
401022569,2018,UNLV,34,Nevada,29,5
401012802,2018,Utah,35,BYU,27,8
401022568,2018,San Diego State,30,Hawai'i,31,1
401056696,2018,Buffalo,29,Northern Illinois,30,1
401056704,2018,Washington,10,Utah,3,7
401082044,2018,Iowa State,27,Drake,24,3
401056703,2018,Middle Tennessee,25,UAB,27,2
401056705,2018,Georgia,28,Alabama,35,7
401056700,2018,Boise State,16,Fresno State,19,3
401013376,2018,Army,17,Navy,10,7
401032056,2018,Eastern Michigan,21,Georgia Southern,23,2
401032061,2018,Toledo,32,Florida International,35,3
401032063,2018,Wake Forest,37,Memphis,34,3
401032069,2018,TCU,10,California,7,3
401032072,2018,Vanderbilt,38,Baylor,45,7
401032075,2018,Washington State,28,Iowa State,26,2
401035252,2018,Nevada,16,Arkansas State,13,3
401032080,2018,Virginia Tech,31,Cincinnati,35,4
401035251,2018,Pittsburgh,13,Stanford,14,1
401035254,2018,Oregon,7,Michigan State,6,1
401032081,2018,Oklahoma State,38,Missouri,33,5
401032083,2018,Iowa,27,Mississippi State,22,5
401032084,2018,UCF,32,LSU,40,8
401032088,2018,Penn State,24,Kentucky,27,3
401032085,2018,Ohio State,28,Washington,23,5
401032086,2018,Georgia,21,Texas,28,7
401110723,2019,Florida,24,Miami,20,4
401114164,2019,Hawai'i,45,Arizona,38,7
401117855,2019,UConn,24,Wagner,21,3
401114246,2019,Western Kentucky,28,Central Arkansas,35,7
401114237,2019,UAB,24,Alabama State,19,5
401112229,2019,Minnesota,28,South Dakota State,21,7
401114238,2019,Army,14,Rice,7,7
401112430,2019,Wake Forest,38,Utah State,35,3
401112262,2019,Nevada,34,Purdue,31,3
401110726,2019,Memphis,15,Ole Miss,10,5
401112096,2019,Kansas,24,Indiana State,17,7
401112431,2019,Florida State,31,Boise State,36,5
401112085,2019,Iowa State,29,Northern Iowa,26,3
401112143,2019,West Virginia,20,James Madison,13,7
401119256,2019,Coastal Carolina,23,Eastern Michigan,30,7
401110730,2019,Tennessee,30,Georgia State,38,8
401110729,2019,North Carolina,24,South Carolina,20,4
401112435,2019,Boston College,35,Virginia Tech,28,7
401110721,2019,Arkansas,20,Portland State,13,7
401117495,2019,New Mexico,39,Sam Houston,31,8
401117858,2019,Arkansas State,30,SMU,37,7
401114242,2019,Old Dominion,24,Norfolk State,21,3
401110722,2019,Auburn,27,Oregon,21,6
401110728,2019,Wyoming,37,Missouri,31,6
401114244,2019,UTEP,36,Houston Christian,34,2
401117496,2019,San Diego State,6,Weber State,0,6
401114218,2019,USC,31,Fresno State,23,8
401114251,2019,Boise State,14,Marshall,7,7
401112223,2019,Michigan,24,Army,21,3
401119261,2019,Kent State,26,Kennesaw State,23,3
401112441,2019,Georgia Tech,14,South Florida,10,4
401114250,2019,Louisiana Tech,20,Grambling,14,6
401112239,2019,Colorado,34,Nebraska,31,3
401112146,2019,UConn,23,Illinois,31,8
401112440,2019,Florida State,45,UL Monroe,44,1
401121936,2019,Georgia Southern,26,Maine,18,8
401121937,2019,Georgia State,48,Furman,42,6
401114248,2019,Florida International,14,Western Kentucky,20,6
401112097,2019,Kansas,7,Coastal Carolina,12,5
401110783,2019,Tennessee,26,BYU,29,3
401110778,2019,Texas,38,LSU,45,7
401112443,2019,North Carolina,28,Miami,25,3
401114175,2019,Washington,19,California,20,1
401112230,2019,Fresno State,35,Minnesota,38,3
401114200,2019,Hawai'i,31,Oregon State,28,3
401112448,2019,Wake Forest,24,North Carolina,18,6
401114230,2019,Houston,24,Washington State,31,7
401112455,2019,Virginia Tech,24,Furman,17,7
401112203,2019,Temple,20,Maryland,17,3
401110792,2019,Mississippi State,24,Kansas State,31,7
401112259,2019,Penn State,17,Pittsburgh,10,7
401112147,2019,Illinois,31,Eastern Michigan,34,3
401112452,2019,Georgia Tech,24,The Citadel,27,3
401114185,2019,Colorado,23,Air Force,30,7
401112231,2019,Minnesota,35,Georgia Southern,32,3
