Id,HomeTeam,HomePoints,AwayTeam,AwayPoints
401640997,Sam Houston,20.0,Liberty,18.0
401643770,Colorado State,42.0,Utah State,37.0
401643843,South Alabama,38.0,Texas State,45.0
401635625,San José State,34.0,Stanford,31.0
401628562,Iowa,13.0,Nebraska,10.0
401628439,Georgia,44.0,Georgia Tech,42.0
401645381,Temple,17.0,North Texas,24.0
401628444,Clemson,14.0,South Carolina,17.0
401628566,Ohio State,10.0,Michigan,13.0
401645378,Army,29.0,UTSA,24.0
401629038,Massachusetts,42.0,UConn,47.0
401635622,Wake Forest,17.0,Duke,23.0
401644780,Western Michigan,26.0,Eastern Michigan,18.0
401645382,Rice,35.0,South Florida,28.0
401643847,Arkansas State,32.0,Old Dominion,40.0
401628570,UCLA,20.0,Fresno State,13.0
401635624,North Carolina,30.0,NC State,35.0
401645377,Charlotte,29.0,UAB,27.0
401644779,Northern Illinois,24.0,Central Michigan,16.0
401635623,Syracuse,42.0,Miami,38.0
401628443,Missouri,28.0,Arkansas,21.0
401641031,New Mexico State,35.0,UTEP,42.0
401641006,Western Kentucky,19.0,Jacksonville State,17.0
401636943,Cincinnati,13.0,TCU,20.0
401643773,Washington State,14.0,Wyoming,15.0
401636944,Iowa State,29.0,Kansas State,21.0
401643846,James Madison,33.0,Marshall,35.0
401643771,Hawai'i,38.0,New Mexico,30.0
401673469,Texas,19.0,Georgia,22.0
401673464,Oregon,45.0,Penn State,37.0
401673463,SMU,31.0,Clemson,34.0
401677077,Western Michigan,23.0,South Alabama,30.0
401677080,West Virginia,37.0,Memphis,42.0
401677082,Sam Houston,31.0,Georgia Southern,26.0
401677083,Jacksonville State,27.0,Ohio,30.0
401677086,Fresno State,20.0,Northern Illinois,28.0
401677087,San José State,39.0,South Florida,41.0
401677180,Toledo,48.0,Pittsburgh,46.0
401677088,Kansas State,44.0,Rutgers,41.0
401677089,Bowling Green,31.0,Arkansas State,38.0
401677090,Navy,21.0,Oklahoma,20.0
401677091,Vanderbilt,35.0,Georgia Tech,27.0
401677093,USC,35.0,Texas A&M,31.0
401677095,Nebraska,20.0,Boston College,15.0
401677097,Miami,41.0,Iowa State,42.0
401677098,NC State,21.0,East Carolina,26.0
401677101,Missouri,27.0,Iowa,24.0
401677102,Michigan,19.0,Alabama,13.0
401677190,Washington,34.0,Louisville,35.0
401677103,Illinois,21.0,South Carolina,17.0
401677182,Arizona State,31.0,Texas,39.0
401677106,Texas State,30.0,North Texas,28.0
401677189,Penn State,24.0,Notre Dame,27.0

